iter 100 eval tensor(5.7508, device='cuda:0', dtype=torch.float64) best tensor(5.7508, device='cuda:0', dtype=torch.float64) error tensor(20.8265, device='cuda:0', dtype=torch.float64) time 37
iter 200 eval tensor(5.4792, device='cuda:0', dtype=torch.float64) best tensor(5.4792, device='cuda:0', dtype=torch.float64) error tensor(15.1180, device='cuda:0', dtype=torch.float64) time 64
iter 300 eval tensor(5.3529, device='cuda:0', dtype=torch.float64) best tensor(5.3529, device='cuda:0', dtype=torch.float64) error tensor(12.4345, device='cuda:0', dtype=torch.float64) time 91
iter 400 eval tensor(5.2703, device='cuda:0', dtype=torch.float64) best tensor(5.2703, device='cuda:0', dtype=torch.float64) error tensor(10.7445, device='cuda:0', dtype=torch.float64) time 118
iter 500 eval tensor(5.2245, device='cuda:0', dtype=torch.float64) best tensor(5.2245, device='cuda:0', dtype=torch.float64) error tensor(9.8035, device='cuda:0', dtype=torch.float64) time 145
iter 600 eval tensor(5.2156, device='cuda:0', dtype=torch.float64) best tensor(5.2156, device='cuda:0', dtype=torch.float64) error tensor(9.5700, device='cuda:0', dtype=torch.float64) time 172
iter 700 eval tensor(5.1758, device='cuda:0', dtype=torch.float64) best tensor(5.1758, device='cuda:0', dtype=torch.float64) error tensor(8.7710, device='cuda:0', dtype=torch.float64) time 200
iter 800 eval tensor(5.1742, device='cuda:0', dtype=torch.float64) best tensor(5.1742, device='cuda:0', dtype=torch.float64) error tensor(8.6735, device='cuda:0', dtype=torch.float64) time 227
iter 900 eval tensor(5.1236, device='cuda:0', dtype=torch.float64) best tensor(5.1236, device='cuda:0', dtype=torch.float64) error tensor(7.6175, device='cuda:0', dtype=torch.float64) time 255
iter 1000 eval tensor(5.1201, device='cuda:0', dtype=torch.float64) best tensor(5.1201, device='cuda:0', dtype=torch.float64) error tensor(7.5370, device='cuda:0', dtype=torch.float64) time 282
iter 1100 eval tensor(5.0925, device='cuda:0', dtype=torch.float64) best tensor(5.0925, device='cuda:0', dtype=torch.float64) error tensor(6.9695, device='cuda:0', dtype=torch.float64) time 310
iter 1200 eval tensor(5.0854, device='cuda:0', dtype=torch.float64) best tensor(5.0854, device='cuda:0', dtype=torch.float64) error tensor(6.8350, device='cuda:0', dtype=torch.float64) time 337
iter 1300 eval tensor(5.0411, device='cuda:0', dtype=torch.float64) best tensor(5.0411, device='cuda:0', dtype=torch.float64) error tensor(5.9150, device='cuda:0', dtype=torch.float64) time 365
iter 1400 eval tensor(5.0380, device='cuda:0', dtype=torch.float64) best tensor(5.0380, device='cuda:0', dtype=torch.float64) error tensor(5.8285, device='cuda:0', dtype=torch.float64) time 393
iter 1500 eval tensor(5.0052, device='cuda:0', dtype=torch.float64) best tensor(5.0052, device='cuda:0', dtype=torch.float64) error tensor(5.1550, device='cuda:0', dtype=torch.float64) time 420
iter 1600 eval tensor(4.9525, device='cuda:0', dtype=torch.float64) best tensor(4.9525, device='cuda:0', dtype=torch.float64) error tensor(4.0560, device='cuda:0', dtype=torch.float64) time 448
iter 1700 eval tensor(4.9563, device='cuda:0', dtype=torch.float64) best tensor(4.9525, device='cuda:0', dtype=torch.float64) error tensor(4.1340, device='cuda:0', dtype=torch.float64) time 475
iter 1800 eval tensor(4.9563, device='cuda:0', dtype=torch.float64) best tensor(4.9525, device='cuda:0', dtype=torch.float64) error tensor(4.1625, device='cuda:0', dtype=torch.float64) time 503
